,Date,total_entry,total_exit,total_profit,p,lots,p&l,slippage,final_profit,Day,final_equity,output
0,2017-01-03 00:00:00,147.15,184.7119961,-37.56199606,73.575,10,-9390.499016,1659.30998,-11049.809,Tue,488950.191,Loss
1,2017-01-04 00:00:00,101.15,79.25,21.9,50.575,10,5475,902,4573,Wed,493523.191,Win
2,2017-01-05 00:00:00,26.8,44.9,-18.1,13.4,10,-4525,358.5,-4883.5,Thu,488639.691,Loss
3,2017-01-10 00:00:00,113.2,103.35,9.85,56.6,10,2462.5,1082.75,1379.75,Tue,490019.441,Win
4,2017-01-11 00:00:00,65.25,66.56199606,-1.311996063,32.625,10,-327.9990158,659.0599803,-987.0589961,Wed,489032.382,Loss
5,2017-01-12 00:00:00,28.15,3.45,24.7,14.075,10,6175,158,6017,Thu,495049.382,Win
6,2017-01-17 00:00:00,139.5,154.0619961,-14.56199606,69.75,10,-3640.499016,1467.80998,-5108.308996,Tue,489941.073,Loss
7,2017-01-18 00:00:00,89.65,100.1619961,-10.51199606,44.825,10,-2627.999016,949.0599803,-3577.058996,Wed,486364.014,Loss
8,2017-01-19 00:00:00,24.2,0.9,23.3,12.1,10,5825,125.5,5699.5,Thu,492063.514,Win
9,2017-01-25 00:00:00,331.6,295.6024533,35.99754668,165.8,6,5399.632002,1881.60736,3518.024642,Wed,495581.5387,Win
10,2017-01-31 00:00:00,376.7,383.9593255,-7.25932546,188.35,5,-907.4156825,1901.648314,-2809.063996,Tue,492772.4747,Loss
11,2017-02-01 00:00:00,370.2,410.4626545,-40.26265451,185.1,5,-5032.831814,1951.656636,-6984.48845,Wed,485787.9862,Loss
12,2017-02-02 00:00:00,44.9,72.9333126,-28.0333126,22.45,10,-7008.328151,589.166563,-7597.494714,Thu,478190.4915,Loss
13,2017-02-07 00:00:00,220.35,210.35,10,110.175,9,2250,1938.15,311.85,Tue,478502.3415,Win
14,2017-02-08 00:00:00,201.2,148.9206571,52.27934292,100.6,9,11762.85216,1575.542957,10187.3092,Wed,488689.6507,Win
15,2017-02-09 00:00:00,56.2,2.4,53.8,28.1,10,13450,293,13157,Thu,501846.6507,Win
16,2017-02-14 00:00:00,147.65,126.2,21.45,73.825,10,5362.5,1369.25,3993.25,Tue,505839.9007,Win
17,2017-02-15 00:00:00,96.3,109.1496011,-12.84960108,48.15,10,-3212.40027,1027.248005,-4239.648275,Wed,501600.2524,Loss
18,2017-02-16 00:00:00,45.7,68.81680964,-23.11680964,22.85,10,-5779.202411,572.5840482,-6351.786459,Thu,495248.466,Loss
19,2017-02-21 00:00:00,139,118.4645372,20.53546285,69.5,10,5133.865712,1287.322686,3846.543027,Tue,499095.009,Win
20,2017-02-22 00:00:00,100.05,82.95,17.1,50.025,10,4275,915,3360,Wed,502455.009,Win
21,2017-02-23 00:00:00,54.95,15.2,39.75,27.475,10,9937.5,350.75,9586.75,Thu,512041.759,Win
22,2017-02-28 00:00:00,142,126.8,15.2,71,10,3800,1344,2456,Tue,514497.759,Win
23,2017-03-01 00:00:00,88.5,67.4,21.1,44.25,10,5275,779.5,4495.5,Wed,518993.259,Win
24,2017-03-02 00:00:00,35.25,47.73489379,-12.48489379,17.625,10,-3121.223447,414.9244689,-3536.147916,Thu,515457.1111,Loss
25,2017-03-07 00:00:00,134.25,127.05,7.2,67.125,10,1800,1306.5,493.5,Tue,515950.6111,Win
26,2017-03-08 00:00:00,94.5,139.4700053,-44.97000528,47.25,10,-11242.50132,1169.850026,-12412.35135,Wed,503538.2597,Loss
27,2017-03-09 00:00:00,48.3,3.8,44.5,24.15,10,11125,260.5,10864.5,Thu,514402.7597,Win
28,2017-03-14 00:00:00,160.2,130.5,29.7,80.1,10,7425,1453.5,5971.5,Tue,520374.2597,Win
29,2017-03-15 00:00:00,99.15,87.65,11.5,49.575,10,2875,934,1941,Wed,522315.2597,Win
30,2017-03-16 00:00:00,35.05,2.05,33,17.525,10,8250,185.5,8064.5,Thu,530379.7597,Win
31,2017-03-21 00:00:00,88,92.75,-4.75,44,10,-1187.5,903.75,-2091.25,Tue,528288.5097,Loss
32,2017-03-22 00:00:00,79.45,57.5,21.95,39.725,10,5487.5,684.75,4802.75,Wed,533091.2597,Win
33,2017-03-23 00:00:00,19,1.2,17.8,9.5,10,4450,101,4349,Thu,537440.2597,Win
34,2017-03-28 00:00:00,113.5,102.1,11.4,56.75,10,2850,1078,1772,Tue,539212.2597,Win
35,2017-03-29 00:00:00,76.15,89.49020289,-13.34020289,38.075,10,-3335.050722,828.2010144,-4163.251737,Wed,535049.008,Loss
36,2017-03-30 00:00:00,27.05,4.25,22.8,13.525,10,5700,156.5,5543.5,Thu,540592.508,Win
37,2017-04-05 00:00:00,91.75,80.05054905,11.69945095,45.875,10,2924.862738,859.0027452,2065.859993,Wed,542658.368,Win
38,2017-04-06 00:00:00,56.65,68.3908525,-11.7408525,28.325,10,-2935.213126,625.2042625,-3560.417388,Thu,539097.9506,Loss
39,2017-04-11 00:00:00,102.15,108.3806998,-6.230699799,51.075,10,-1557.67495,1052.653499,-2610.328449,Tue,536487.6221,Loss
40,2017-04-12 00:00:00,84.1,90.50386638,-6.40386638,42.05,10,-1600.966595,873.0193319,-2473.985927,Wed,534013.6362,Loss
41,2017-04-13 00:00:00,32.95,4.1,28.85,16.475,10,7212.5,185.25,7027.25,Thu,541040.8862,Win
42,2017-04-18 00:00:00,117.15,108.0864699,9.063530066,58.575,10,2265.882516,1126.18235,1139.700167,Tue,542180.5864,Win
43,2017-04-19 00:00:00,106.2,69.7,36.5,53.1,10,9125,879.5,8245.5,Wed,550426.0864,Win
44,2017-04-20 00:00:00,25.35,2.35,23,12.675,10,5750,138.5,5611.5,Thu,556037.5864,Win
45,2017-04-25 00:00:00,120.8,106.5,14.3,60.4,10,3575,1136.5,2438.5,Tue,558476.0864,Win
46,2017-04-26 00:00:00,108.2,83.65,24.55,54.1,10,6137.5,959.25,5178.25,Wed,563654.3364,Win
47,2017-04-27 00:00:00,32.35,52.95105706,-20.60105706,16.175,10,-5150.264264,426.5052853,-5576.769549,Thu,558077.5668,Loss
48,2017-05-02 00:00:00,126.35,146.8997107,-20.54971067,63.175,10,-5137.427666,1366.248553,-6503.67622,Tue,551573.8906,Loss
49,2017-05-03 00:00:00,110.4,75.5,34.9,55.2,10,8725,929.5,7795.5,Wed,559369.3906,Win
50,2017-05-04 00:00:00,30.3,43.91815377,-13.61815377,15.15,10,-3404.538444,371.0907689,-3775.629213,Thu,555593.7614,Loss
51,2017-05-09 00:00:00,136.25,118.35,17.9,68.125,10,4475,1273,3202,Tue,558795.7614,Win
52,2017-05-10 00:00:00,90.65,65.5,25.15,45.325,10,6287.5,780.75,5506.75,Wed,564302.5114,Win
